PROCESSID	TAXON	MARKER	GENBANK_ACCESSION	TRACEFILE
ABBAI1914-16	Glottidia	16S		ABBAI/0174004737-02F+1500090485.ab1
ABBAI1914-16	Glottidia	16S		ABBAI/0174004737-02R+1500044907.ab1
ABBAI1914-16	Glottidia	COI-5P		ABBAI/0174004737-01F+1423507795.ab1
ABBAI1914-16	Glottidia	COI-5P		ABBAI/0174004737-01R+1473760260.ab1
ABBAI1914-16	Glottidia	18S		ABBAI/0174004737-03F+1523017322.ab1
ABBAI1914-16	Glottidia	18S		ABBAI/0174004737-03R+1523017322.ab1
ABBAI1917-16	Glottidia	18S		ABBAI/0174004789-03F+1523017322.ab1
ABBAI1917-16	Glottidia	16S		ABBAI/0174004789-02F+1500090485.ab1
ABBAI1917-16	Glottidia	18S		ABBAI/0174004789-03R+1523017322.ab1
ABBAI2192-17	Glottidia	COI-5P		ABBAI/0233057563-01F+1505454306.ab1
ABBAI2192-17	Glottidia	COI-5P		ABBAI/0233057563-01R+1505460746.ab1
ABBAI2684-17	Glottidia	COI-5P		ABBAI/0233139852-01F+1510031182.ab1
ABBAI2684-17	Glottidia	COI-5P		ABBAI/0233139852-01R+1510025725.ab1
ABBAI2685-17	Glottidia	COI-5P		ABBAI/0233139938-01R+1510025725.ab1
ABBAI2685-17	Glottidia	COI-5P		ABBAI/0233139938-01F+1510031182.ab1
ABBAI784-16	Discinidae	18S		ABBAI/0199442186-03R+1522263603.ab1
ABBAI784-16	Discinidae	18S		ABBAI/0199442186-03F+1522263603.ab1
ABBAI835-16	Discinidae	18S		ABBAI/0199442151-03R+1522263603.ab1
ABBAI835-16	Discinidae	18S		ABBAI/0199442151-03F+1522263603.ab1
ABBAI923-16	Discinidae	18S		ABBAI/0199442608-03F+1522263603.ab1
ABBAI923-16	Discinidae	18S		ABBAI/0199442608-03R+1522263603.ab1
ARCMI348-14	Hemithiris psittacea	COI-5P		ARCMI/ARCMI348-14[C_LepFolF,C_LepFolR]_R+1416558055.ab1
ARCMI348-14	Hemithiris psittacea	COI-5P		ARCMI/ARCMI348-14[C_LepFolF,C_LepFolR]_F+1416508026.ab1
DFO152-11	Terebratulida	COI-5P		DFO/DFO152-11[dgLCO-1490,dgHCO-2198]_F+1324570227.ab1
DFO152-11	Terebratulida	COI-5P		DFO/DFO152-11[dgLCO-1490,dgHCO-2198]_R+1324565062.ab1
DFO156-11	Terebratulida	COI-5P		DFO/DFO156-11[dgLCO-1490,dgHCO-2198]_R+1324565062.ab1
DFO156-11	Terebratulida	COI-5P		DFO/DFO156-11[dgLCO-1490,dgHCO-2198]_F+1324570227.ab1
DSECH002-07	Hemithiris psittacea	COI-5P		SANOA/DSECH002-07~F1_1+1180698974.ab1
